weight,n_removed,orig_cagr_pct,mod_cagr_pct,diff_pp,pair
1.0,0,8.55045359854052,8.55045359854052,0.0,sp500
1.0,5,8.55045359854052,6.844089958176269,-1.7063636403642501,sp500
1.0,10,8.55045359854052,5.698263770432654,-2.852189828107865,sp500
1.0,15,8.55045359854052,4.695155354915581,-3.8552982436249383,sp500
1.0,20,8.55045359854052,3.819840138107189,-4.7306134604333305,sp500
1.0,25,8.55045359854052,3.0079495949639545,-5.542504003576565,sp500
1.0,30,8.55045359854052,2.2460798824301964,-6.304373716110323,sp500
0.8,0,7.982178485825142,7.982178485825142,0.0,sp500
0.8,5,7.982178485825142,6.793217623159409,-1.1889608626657333,sp500
0.8,10,7.982178485825142,5.9618316902911195,-2.0203467955340226,sp500
0.8,15,7.982178485825142,5.265728210634868,-2.716450275190274,sp500
0.8,20,7.982178485825142,4.6294279084945655,-3.3527505773305766,sp500
0.8,25,7.982178485825142,4.025453772906684,-3.956724712918458,sp500
0.8,30,7.982178485825142,3.458041077081342,-4.5241374087438,sp500
0.6,0,7.216853866421036,7.216853866421036,0.0,sp500
0.6,5,7.216853866421036,6.450701731279862,-0.7661521351411738,sp500
0.6,10,7.216853866421036,5.841416288416568,-1.375437578004468,sp500
0.6,15,7.216853866421036,5.344036108336425,-1.8728177580846106,sp500
0.6,20,7.216853866421036,4.884580276201822,-2.3322735902192138,sp500
0.6,25,7.216853866421036,4.454521485885543,-2.7623323805354927,sp500
0.6,30,7.216853866421036,4.0610035287762525,-3.1558503376447833,sp500
0.4,0,6.274524462325304,6.274524462325304,0.0,sp500
0.4,5,6.274524462325304,5.734113039735633,-0.5404114225896706,sp500
0.4,10,6.274524462325304,5.354295375348328,-0.9202290869769758,sp500
0.4,15,6.274524462325304,5.015174198465533,-1.259350263859771,sp500
0.4,20,6.274524462325304,4.694648498126686,-1.5798759641986182,sp500
0.4,25,6.274524462325304,4.390773347932764,-1.88375111439254,sp500
0.4,30,6.274524462325304,4.10218172691843,-2.1723427354068736,sp500
0.2,0,5.1680574124867595,5.1680574124867595,0.0,sp500
0.2,5,5.1680574124867595,4.716282721941112,-0.4517746905456477,sp500
0.2,10,5.1680574124867595,4.422754561271192,-0.7453028512155679,sp500
0.2,15,5.1680574124867595,4.157387726106232,-1.0106696863805276,sp500
0.2,20,5.1680574124867595,3.9094518720573346,-1.258605540429425,sp500
0.2,25,5.1680574124867595,3.675355424269866,-1.4927019882168935,sp500
0.2,30,5.1680574124867595,3.449838533208549,-1.7182188792782105,sp500
0.0,0,3.9053086402936366,3.9053086402936366,0.0,sp500
0.0,5,3.9053086402936366,3.412138506711937,-0.4931701335816996,sp500
0.0,10,3.9053086402936366,3.031450728842011,-0.8738579114516254,sp500
0.0,15,3.9053086402936366,2.7095724330546522,-1.1957362072389843,sp500
0.0,20,3.9053086402936366,2.410147672682106,-1.4951609676115307,sp500
0.0,25,3.9053086402936366,2.1331527309818465,-1.77215590931179,sp500
0.0,30,3.9053086402936366,1.8708193277122032,-2.0344893125814334,sp500
1.0,0,11.382151342754042,11.382151342754042,0.0,kospi
1.0,5,11.382151342754042,9.265589385959917,-2.1165619567941274,kospi
1.0,10,11.382151342754042,7.533713256590668,-3.848438086163375,kospi
1.0,15,11.382151342754042,5.985812021876602,-5.396339320877441,kospi
1.0,20,11.382151342754042,4.663627794641045,-6.718523548112998,kospi
1.0,25,11.382151342754042,3.4916728469781333,-7.89047849577591,kospi
1.0,30,11.382151342754042,2.3871639013795853,-8.994987441374459,kospi
0.8,0,10.824611120339211,10.824611120339211,0.0,kospi
0.8,5,10.824611120339211,9.121799032393207,-1.702812087946004,kospi
0.8,10,10.824611120339211,7.656776123064857,-3.1678349972743547,kospi
0.8,15,10.824611120339211,6.412688901434538,-4.411922218904674,kospi
0.8,20,10.824611120339211,5.322064173786423,-5.502546946552789,kospi
0.8,25,10.824611120339211,4.363865514052789,-6.460745606286422,kospi
0.8,30,10.824611120339211,3.468425747978676,-7.356185372360535,kospi
0.6,0,9.900974743761303,9.900974743761303,0.0,kospi
0.6,5,9.900974743761303,8.20421499300965,-1.696759750751653,kospi
0.6,10,9.900974743761303,7.075209906790558,-2.8257648369707455,kospi
0.6,15,9.900974743761303,6.122878543952548,-3.778096199808756,kospi
0.6,20,9.900974743761303,5.313895695139403,-4.5870790486219,kospi
0.6,25,9.900974743761303,4.566803349041093,-5.334171394720211,kospi
0.6,30,9.900974743761303,3.881644641677817,-6.019330102083487,kospi
0.4,0,8.61086688559627,8.61086688559627,0.0,kospi
0.4,5,8.61086688559627,6.9007108021723385,-1.7101560834239304,kospi
0.4,10,8.61086688559627,6.119680714109665,-2.4911861714866035,kospi
0.4,15,8.61086688559627,5.461372292789735,-3.1494945928065343,kospi
0.4,20,8.61086688559627,4.8925981069104285,-3.7182687786858404,kospi
0.4,25,8.61086688559627,4.369861215718984,-4.241005669877285,kospi
0.4,30,8.61086688559627,3.88102476048775,-4.729842125108519,kospi
0.2,0,6.934345848376067,6.934345848376067,0.0,kospi
0.2,5,6.934345848376067,5.161505705921199,-1.7728401424548679,kospi
0.2,10,6.934345848376067,4.640763510792123,-2.2935823375839437,kospi
0.2,15,6.934345848376067,4.175382607435574,-2.758963240940493,kospi
0.2,20,6.934345848376067,3.7734862604452024,-3.1608595879308643,kospi
0.2,25,6.934345848376067,3.390044845664808,-3.5443010027112587,kospi
0.2,30,6.934345848376067,3.048782407862638,-3.8855634405134287,kospi
0.0,0,4.8286018136870945,4.8286018136870945,0.0,kospi
0.0,5,4.8286018136870945,2.756009369914336,-2.0725924437727583,kospi
0.0,10,4.8286018136870945,2.179326320264807,-2.6492754934222873,kospi
0.0,15,4.8286018136870945,1.6808981186957173,-3.1477036949913773,kospi
0.0,20,4.8286018136870945,1.2883863842773513,-3.540215429409743,kospi
0.0,25,4.8286018136870945,0.9301727643382662,-3.8984290493488283,kospi
0.0,30,4.8286018136870945,0.6072845318170206,-4.221317281870074,kospi
