episode_id,equity_peak_date,equity_trough_date,equity_mdd,weight,portfolio_peak_date,portfolio_trough_date,portfolio_mdd,recovered,recovery_days,pair,rebalance_freq
0,2000-11-09,2000-12-04,-0.10517418467010364,0.0,2000-11-09,2000-11-09,0.0,True,0.0,kospi,annual
1,2001-01-19,2001-04-04,-0.20325038700039166,1.0,2001-01-19,2001-04-04,-0.20325038700039166,True,49.0,kospi,annual
1,2001-01-19,2001-04-04,-0.20325038700039166,0.8,2001-01-19,2001-04-04,-0.17871204417085362,True,55.0,kospi,annual
1,2001-01-19,2001-04-04,-0.20325038700039166,0.6,2001-01-19,2001-04-04,-0.1530944104299613,True,229.0,kospi,annual
1,2001-01-19,2001-04-04,-0.20325038700039166,0.4,2001-01-19,2001-04-04,-0.126324677521509,True,132.0,kospi,annual
1,2001-01-19,2001-04-04,-0.20325038700039166,0.2,2001-01-19,2001-04-03,-0.1000427410490985,True,98.0,kospi,annual
1,2001-01-19,2001-04-04,-0.20325038700039166,0.0,2001-01-19,2001-04-30,-0.07972837535954025,True,59.0,kospi,annual
2,2001-05-29,2001-09-17,-0.2582155201371512,1.0,2001-05-29,2001-09-17,-0.2582155201371512,True,70.0,kospi,annual
2,2001-05-29,2001-09-17,-0.2582155201371512,0.8,2001-05-29,2001-09-17,-0.19441074127968827,True,63.0,kospi,annual
2,2001-05-29,2001-09-17,-0.2582155201371512,0.6,2001-05-29,2001-09-17,-0.12625873744643978,True,63.0,kospi,annual
2,2001-05-29,2001-09-17,-0.2582155201371512,0.4,2001-05-29,2001-09-12,-0.054816315551954875,True,62.0,kospi,annual
2,2001-05-29,2001-09-17,-0.2582155201371512,0.2,2001-05-29,2001-06-20,-0.0071416454545675245,True,1.0,kospi,annual
2,2001-05-29,2001-09-17,-0.2582155201371512,0.0,2001-05-29,2001-05-29,0.0,True,0.0,kospi,annual
3,2002-04-18,2003-03-12,-0.43306770058246924,1.0,2002-04-18,2003-03-12,-0.43306770058246924,True,698.0,kospi,annual
3,2002-04-18,2003-03-12,-0.43306770058246924,0.8,2002-04-18,2003-03-12,-0.33301913376322556,True,338.0,kospi,annual
3,2002-04-18,2003-03-12,-0.43306770058246924,0.6,2002-04-18,2003-03-12,-0.21867248332015088,True,238.0,kospi,annual
3,2002-04-18,2003-03-12,-0.43306770058246924,0.4,2002-04-18,2002-10-11,-0.1035475729745764,True,229.0,kospi,annual
3,2002-04-18,2003-03-12,-0.43306770058246924,0.2,2002-04-18,2002-04-30,-0.01818028303623309,True,17.0,kospi,annual
3,2002-04-18,2003-03-12,-0.43306770058246924,0.0,2002-04-18,2002-04-18,0.0,True,0.0,kospi,annual
4,2005-03-11,2005-04-29,-0.10895391581629155,1.0,2005-03-11,2005-04-29,-0.10895391581629155,True,69.0,kospi,annual
4,2005-03-11,2005-04-29,-0.10895391581629155,0.8,2005-03-11,2005-04-29,-0.0871309771044434,True,66.0,kospi,annual
4,2005-03-11,2005-04-29,-0.10895391581629155,0.6,2005-03-11,2005-04-29,-0.06364266712958522,True,55.0,kospi,annual
4,2005-03-11,2005-04-29,-0.10895391581629155,0.4,2005-03-11,2005-04-28,-0.03863725239209226,True,32.0,kospi,annual
4,2005-03-11,2005-04-29,-0.10895391581629155,0.2,2005-03-11,2005-03-25,-0.022984647856991725,True,14.0,kospi,annual
4,2005-03-11,2005-04-29,-0.10895391581629155,0.0,2005-03-11,2005-03-25,-0.01292150321396257,True,4.0,kospi,annual
5,2006-05-11,2006-06-13,-0.1781643239072157,1.0,2006-05-11,2006-06-13,-0.1781643239072157,True,254.0,kospi,annual
5,2006-05-11,2006-06-13,-0.1781643239072157,0.8,2006-05-11,2006-06-13,-0.14183818056572028,True,248.0,kospi,annual
5,2006-05-11,2006-06-13,-0.1781643239072157,0.6,2006-05-11,2006-06-13,-0.10562153115810213,True,162.0,kospi,annual
5,2006-05-11,2006-06-13,-0.1781643239072157,0.4,2006-05-11,2006-06-13,-0.06951388137588865,True,107.0,kospi,annual
5,2006-05-11,2006-06-13,-0.1781643239072157,0.2,2006-05-11,2006-06-23,-0.03873143603684315,True,46.0,kospi,annual
5,2006-05-11,2006-06-13,-0.1781643239072157,0.0,2006-05-11,2006-06-23,-0.008349574919987113,True,7.0,kospi,annual
6,2007-07-25,2007-08-17,-0.18268884531579144,1.0,2007-07-25,2007-08-17,-0.18268884531579144,True,46.0,kospi,annual
6,2007-07-25,2007-08-17,-0.18268884531579144,0.8,2007-07-25,2007-08-17,-0.15275114509427568,True,46.0,kospi,annual
6,2007-07-25,2007-08-17,-0.18268884531579144,0.6,2007-07-25,2007-08-17,-0.11890852797834162,True,46.0,kospi,annual
6,2007-07-25,2007-08-17,-0.18268884531579144,0.4,2007-07-25,2007-08-17,-0.08034368589851038,True,46.0,kospi,annual
6,2007-07-25,2007-08-17,-0.18268884531579144,0.2,2007-07-25,2007-08-17,-0.03599411840242517,True,46.0,kospi,annual
6,2007-07-25,2007-08-17,-0.18268884531579144,0.0,2007-07-25,2007-07-25,0.0,True,0.0,kospi,annual
7,2007-10-31,2008-10-24,-0.5451179931942733,1.0,2007-10-31,2008-10-24,-0.5451179931942733,True,801.0,kospi,annual
7,2007-10-31,2008-10-24,-0.5451179931942733,0.8,2007-10-31,2008-10-24,-0.43717449803716124,True,696.0,kospi,annual
7,2007-10-31,2008-10-24,-0.5451179931942733,0.6,2007-10-31,2008-11-20,-0.32661665287797115,True,306.0,kospi,annual
7,2007-10-31,2008-10-24,-0.5451179931942733,0.4,2007-10-31,2008-11-20,-0.21182030057520296,True,252.0,kospi,annual
7,2007-10-31,2008-10-24,-0.5451179931942733,0.2,2007-10-31,2008-11-25,-0.09532120155399948,True,21.0,kospi,annual
7,2007-10-31,2008-10-24,-0.5451179931942733,0.0,2007-10-31,2007-12-10,-0.02770571020994783,True,32.0,kospi,annual
8,2011-05-02,2011-09-26,-0.25871320536556086,1.0,2011-05-02,2011-09-26,-0.25871320536556086,True,2047.0,kospi,annual
8,2011-05-02,2011-09-26,-0.25871320536556086,0.8,2011-05-02,2011-09-26,-0.19573766762128253,True,1285.0,kospi,annual
8,2011-05-02,2011-09-26,-0.25871320536556086,0.6,2011-05-02,2011-09-26,-0.13148704647018628,True,354.0,kospi,annual
8,2011-05-02,2011-09-26,-0.25871320536556086,0.4,2011-05-02,2011-09-26,-0.06592222040217433,True,116.0,kospi,annual
8,2011-05-02,2011-09-26,-0.25871320536556086,0.2,2011-05-02,2011-05-06,-0.005969112267036669,True,12.0,kospi,annual
8,2011-05-02,2011-09-26,-0.25871320536556086,0.0,2011-05-02,2011-05-03,-0.0006702484866558667,True,1.0,kospi,annual
9,2018-01-29,2020-03-19,-0.4381875851692716,1.0,2018-01-29,2020-03-19,-0.4381875851692716,True,249.0,kospi,annual
9,2018-01-29,2020-03-19,-0.4381875851692716,0.8,2018-01-29,2020-03-19,-0.3383749786145285,True,237.0,kospi,annual
9,2018-01-29,2020-03-19,-0.4381875851692716,0.6,2018-01-29,2020-03-19,-0.22991688399181487,True,138.0,kospi,annual
9,2018-01-29,2020-03-19,-0.4381875851692716,0.4,2018-01-29,2020-03-19,-0.11261646305444795,True,61.0,kospi,annual
9,2018-01-29,2020-03-19,-0.4381875851692716,0.2,2018-01-29,2018-02-12,-0.02066203189937632,True,56.0,kospi,annual
9,2018-01-29,2020-03-19,-0.4381875851692716,0.0,2018-01-29,2018-02-05,-0.004643758635016204,True,1.0,kospi,annual
10,2021-07-06,2022-09-30,-0.3475470263584475,1.0,2021-07-06,2022-09-30,-0.3475470263584475,True,1076.0,kospi,annual
10,2021-07-06,2022-09-30,-0.3475470263584475,0.8,2021-07-06,2022-09-30,-0.30713343354990696,True,1019.0,kospi,annual
10,2021-07-06,2022-09-30,-0.3475470263584475,0.6,2021-07-06,2022-10-21,-0.26756161880903984,True,977.0,kospi,annual
10,2021-07-06,2022-09-30,-0.3475470263584475,0.4,2021-07-06,2022-10-21,-0.23413981534204453,True,969.0,kospi,annual
10,2021-07-06,2022-09-30,-0.3475470263584475,0.2,2021-07-06,2022-10-21,-0.19914066289478682,True,852.0,kospi,annual
10,2021-07-06,2022-09-30,-0.3475470263584475,0.0,2021-07-06,2022-10-21,-0.16241966848465594,True,626.0,kospi,annual
11,2026-02-26,2026-03-31,-0.19892161353233684,1.0,2026-02-26,2026-03-31,-0.19892161353233684,True,21.0,kospi,annual
11,2026-02-26,2026-03-31,-0.19892161353233684,0.8,2026-02-26,2026-03-31,-0.17398973666305462,True,21.0,kospi,annual
11,2026-02-26,2026-03-31,-0.19892161353233684,0.6,2026-02-26,2026-03-31,-0.14539641869957243,True,21.0,kospi,annual
11,2026-02-26,2026-03-31,-0.19892161353233684,0.4,2026-02-26,2026-03-31,-0.11227117393766983,True,21.0,kospi,annual
11,2026-02-26,2026-03-31,-0.19892161353233684,0.2,2026-02-26,2026-03-31,-0.07344383008813382,True,29.0,kospi,annual
11,2026-02-26,2026-03-31,-0.19892161353233684,0.0,2026-02-26,2026-03-27,-0.030409330555800862,False,,kospi,annual
0,2000-11-09,2000-12-04,-0.10517418467010364,1.0,2000-11-09,2000-12-04,-0.10517418467010364,True,32.0,kospi,none
0,2000-11-09,2000-12-04,-0.10517418467010364,0.8,2000-11-09,2000-12-04,-0.07133948035188609,True,9.0,kospi,none
0,2000-11-09,2000-12-04,-0.10517418467010364,0.6,2000-11-09,2000-11-30,-0.04778877578061158,True,8.0,kospi,none
0,2000-11-09,2000-12-04,-0.10517418467010364,0.4,2000-11-09,2000-11-30,-0.02515107601640354,True,5.0,kospi,none
0,2000-11-09,2000-12-04,-0.10517418467010364,0.2,2000-11-09,2000-11-30,-0.002099382338055733,True,1.0,kospi,none
0,2000-11-09,2000-12-04,-0.10517418467010364,0.0,2000-11-09,2000-11-09,0.0,True,0.0,kospi,none
1,2001-01-19,2001-04-04,-0.20325038700039166,1.0,2001-01-19,2001-04-04,-0.20325038700039166,True,49.0,kospi,none
1,2001-01-19,2001-04-04,-0.20325038700039166,0.8,2001-01-19,2001-04-04,-0.17687609375335223,True,55.0,kospi,none
1,2001-01-19,2001-04-04,-0.20325038700039166,0.6,2001-01-19,2001-04-04,-0.15026741461681126,True,229.0,kospi,none
1,2001-01-19,2001-04-04,-0.20325038700039166,0.4,2001-01-19,2001-04-04,-0.12342121119708271,True,132.0,kospi,none
1,2001-01-19,2001-04-04,-0.20325038700039166,0.2,2001-01-19,2001-04-03,-0.09837881197152509,True,98.0,kospi,none
1,2001-01-19,2001-04-04,-0.20325038700039166,0.0,2001-01-19,2001-04-30,-0.07972837535954025,True,59.0,kospi,none
2,2001-05-29,2001-09-17,-0.2582155201371512,1.0,2001-05-29,2001-09-17,-0.2582155201371512,True,70.0,kospi,none
2,2001-05-29,2001-09-17,-0.2582155201371512,0.8,2001-05-29,2001-09-17,-0.1895794512558019,True,63.0,kospi,none
2,2001-05-29,2001-09-17,-0.2582155201371512,0.6,2001-05-29,2001-09-17,-0.11863913277802862,True,63.0,kospi,none
2,2001-05-29,2001-09-17,-0.2582155201371512,0.4,2001-05-29,2001-09-12,-0.047279516746009054,True,55.0,kospi,none
2,2001-05-29,2001-09-17,-0.2582155201371512,0.2,2001-05-29,2001-06-20,-0.006137908804312087,True,1.0,kospi,none
2,2001-05-29,2001-09-17,-0.2582155201371512,0.0,2001-05-29,2001-05-29,0.0,True,0.0,kospi,none
3,2002-04-18,2003-03-12,-0.43306770058246924,1.0,2002-04-18,2003-03-12,-0.43306770058246924,True,698.0,kospi,none
3,2002-04-18,2003-03-12,-0.43306770058246924,0.8,2002-04-18,2003-03-12,-0.3386732879263824,True,356.0,kospi,none
3,2002-04-18,2003-03-12,-0.43306770058246924,0.6,2002-04-18,2003-03-12,-0.2293435074048038,True,303.0,kospi,none
3,2002-04-18,2003-03-12,-0.43306770058246924,0.4,2002-04-18,2002-10-11,-0.12430649388051962,True,237.0,kospi,none
3,2002-04-18,2003-03-12,-0.43306770058246924,0.2,2002-04-18,2002-04-30,-0.021691673665633404,True,71.0,kospi,none
3,2002-04-18,2003-03-12,-0.43306770058246924,0.0,2002-04-18,2002-04-18,0.0,True,0.0,kospi,none
4,2005-03-11,2005-04-29,-0.10895391581629155,1.0,2005-03-11,2005-04-29,-0.10895391581629155,True,69.0,kospi,none
4,2005-03-11,2005-04-29,-0.10895391581629155,0.8,2005-03-11,2005-04-29,-0.08663042319890812,True,66.0,kospi,none
4,2005-03-11,2005-04-29,-0.10895391581629155,0.6,2005-03-11,2005-04-29,-0.06283753342357568,True,55.0,kospi,none
4,2005-03-11,2005-04-29,-0.10895391581629155,0.4,2005-03-11,2005-04-28,-0.03785287618060085,True,29.0,kospi,none
4,2005-03-11,2005-04-29,-0.10895391581629155,0.2,2005-03-11,2005-03-25,-0.02277467155049462,True,14.0,kospi,none
4,2005-03-11,2005-04-29,-0.10895391581629155,0.0,2005-03-11,2005-03-25,-0.01292150321396257,True,4.0,kospi,none
5,2006-05-11,2006-06-13,-0.1781643239072157,1.0,2006-05-11,2006-06-13,-0.1781643239072157,True,254.0,kospi,none
5,2006-05-11,2006-06-13,-0.1781643239072157,0.8,2006-05-11,2006-06-13,-0.1544068732570154,True,254.0,kospi,none
5,2006-05-11,2006-06-13,-0.1781643239072157,0.6,2006-05-11,2006-06-13,-0.12620640691517426,True,190.0,kospi,none
5,2006-05-11,2006-06-13,-0.1781643239072157,0.4,2006-05-11,2006-06-13,-0.09218798704297393,True,153.0,kospi,none
5,2006-05-11,2006-06-13,-0.1781643239072157,0.2,2006-05-11,2006-06-23,-0.05297750642181809,True,70.0,kospi,none
5,2006-05-11,2006-06-13,-0.1781643239072157,0.0,2006-05-11,2006-06-23,-0.008349574919987113,True,7.0,kospi,none
6,2007-07-25,2007-08-17,-0.18268884531579144,1.0,2007-07-25,2007-08-17,-0.18268884531579144,True,46.0,kospi,none
6,2007-07-25,2007-08-17,-0.18268884531579144,0.8,2007-07-25,2007-08-17,-0.16230222911570902,True,46.0,kospi,none
6,2007-07-25,2007-08-17,-0.18268884531579144,0.6,2007-07-25,2007-08-17,-0.1362791608778331,True,46.0,kospi,none
6,2007-07-25,2007-08-17,-0.18268884531579144,0.4,2007-07-25,2007-08-17,-0.10190713325971079,True,46.0,kospi,none
6,2007-07-25,2007-08-17,-0.18268884531579144,0.2,2007-07-25,2007-08-17,-0.054400588426749,True,46.0,kospi,none
6,2007-07-25,2007-08-17,-0.18268884531579144,0.0,2007-07-25,2007-07-25,0.0,True,0.0,kospi,none
7,2007-10-31,2008-10-24,-0.5451179931942733,1.0,2007-10-31,2008-10-24,-0.5451179931942733,True,801.0,kospi,none
7,2007-10-31,2008-10-24,-0.5451179931942733,0.8,2007-10-31,2008-10-24,-0.4845580242191456,True,784.0,kospi,none
7,2007-10-31,2008-10-24,-0.5451179931942733,0.6,2007-10-31,2008-10-24,-0.4069022225920016,True,704.0,kospi,none
7,2007-10-31,2008-10-24,-0.5451179931942733,0.4,2007-10-31,2008-11-20,-0.30636245718900823,True,613.0,kospi,none
7,2007-10-31,2008-10-24,-0.5451179931942733,0.2,2007-10-31,2008-11-25,-0.1683830849067368,True,282.0,kospi,none
7,2007-10-31,2008-10-24,-0.5451179931942733,0.0,2007-10-31,2007-12-10,-0.02770571020994783,True,32.0,kospi,none
8,2011-05-02,2011-09-26,-0.25871320536556086,1.0,2011-05-02,2011-09-26,-0.25871320536556086,True,2047.0,kospi,none
8,2011-05-02,2011-09-26,-0.25871320536556086,0.8,2011-05-02,2011-09-26,-0.22172445833401722,True,1298.0,kospi,none
8,2011-05-02,2011-09-26,-0.25871320536556086,0.6,2011-05-02,2011-09-26,-0.1756811690682708,True,1033.0,kospi,none
8,2011-05-02,2011-09-26,-0.25871320536556086,0.4,2011-05-02,2011-09-26,-0.11679493611268499,True,318.0,kospi,none
8,2011-05-02,2011-09-26,-0.25871320536556086,0.2,2011-05-02,2011-09-26,-0.03882142692433599,True,36.0,kospi,none
8,2011-05-02,2011-09-26,-0.25871320536556086,0.0,2011-05-02,2011-05-03,-0.0006702484866558667,True,1.0,kospi,none
9,2018-01-29,2020-03-19,-0.4381875851692716,1.0,2018-01-29,2020-03-19,-0.4381875851692716,True,249.0,kospi,none
9,2018-01-29,2020-03-19,-0.4381875851692716,0.8,2018-01-29,2020-03-19,-0.360744112593283,True,242.0,kospi,none
9,2018-01-29,2020-03-19,-0.4381875851692716,0.6,2018-01-29,2020-03-19,-0.2688681662020178,True,145.0,kospi,none
9,2018-01-29,2020-03-19,-0.4381875851692716,0.4,2018-01-29,2020-03-19,-0.15811069645409004,True,78.0,kospi,none
9,2018-01-29,2020-03-19,-0.4381875851692716,0.2,2018-01-29,2018-02-12,-0.026918391664543462,True,196.0,kospi,none
9,2018-01-29,2020-03-19,-0.4381875851692716,0.0,2018-01-29,2018-02-05,-0.004643758635016204,True,1.0,kospi,none
10,2021-07-06,2022-09-30,-0.3475470263584475,1.0,2021-07-06,2022-09-30,-0.3475470263584475,True,1076.0,kospi,none
10,2021-07-06,2022-09-30,-0.3475470263584475,0.8,2021-07-06,2022-09-30,-0.3214985175841797,True,1076.0,kospi,none
10,2021-07-06,2022-09-30,-0.3475470263584475,0.6,2021-07-06,2022-10-13,-0.2901371848264618,True,1020.0,kospi,none
10,2021-07-06,2022-09-30,-0.3475470263584475,0.4,2021-07-06,2022-10-21,-0.2554003431034608,True,994.0,kospi,none
10,2021-07-06,2022-09-30,-0.3475470263584475,0.2,2021-07-06,2022-10-21,-0.21576817586405594,True,964.0,kospi,none
10,2021-07-06,2022-09-30,-0.3475470263584475,0.0,2021-07-06,2022-10-21,-0.16241966848465594,True,626.0,kospi,none
11,2026-02-26,2026-03-31,-0.19892161353233684,1.0,2026-02-26,2026-03-31,-0.19892161353233684,True,21.0,kospi,none
11,2026-02-26,2026-03-31,-0.19892161353233684,0.8,2026-02-26,2026-03-31,-0.18741646195970707,True,21.0,kospi,none
11,2026-02-26,2026-03-31,-0.19892161353233684,0.6,2026-02-26,2026-03-31,-0.17132467208741742,True,21.0,kospi,none
11,2026-02-26,2026-03-31,-0.19892161353233684,0.4,2026-02-26,2026-03-31,-0.14722066310922877,True,21.0,kospi,none
11,2026-02-26,2026-03-31,-0.19892161353233684,0.2,2026-02-26,2026-03-31,-0.107136866799183,True,21.0,kospi,none
11,2026-02-26,2026-03-31,-0.19892161353233684,0.0,2026-02-26,2026-03-27,-0.030409330555800862,False,,kospi,none
